sound_x,sound_y,similarity
99,280,87.1111062790633
544,214,70.76629136884978
460,126,67.10022675584958
427,369,84.08120073613763
277,394,133.11398588254124
159,470,85.4809572175304
57,261,64.7675380625422
93,435,93.24444712966095
423,363,112.2109173010091
284,285,61.5754566485957
368,196,162.09273994445206
74,412,137.11399092868493
384,97,90.38215326672366
502,390,78.19663490554748
524,135,97.48301154715556
57,458,58.542574771918765
427,54,92.17348469983374
172,182,118.98047186422052
148,559,121.80845151009531
554,198,90.96089001992998
331,182,77.73606627307878
34,132,74.92430841373552
513,322,92.44429371462802
365,41,91.52088311730316
529,54,101.47302620820696
144,518,68.90607399998788
293,417,68.55608971369112
245,193,256.8254303543257
251,349,99.6061047554207
199,547,76.23960179338158
221,98,56.06007864798015
383,526,59.52358888744599
483,386,91.07784018931923
144,161,81.40654016982785
554,156,93.62086518228952
457,531,81.53916207984231
164,274,89.89391301951305
384,326,86.97952600317211
513,363,88.95327134156838
542,39,58.938286715010776
160,417,70.19517664194066
460,149,67.67948201630371
358,428,110.25222540643628
317,271,64.88887609225159
307,276,76.32822261757195
384,394,119.63724830313738
99,322,88.49786248531149
160,541,71.24230273991013
251,229,119.96211192317278
172,477,127.56361544668648
556,213,105.48806577023115
180,398,96.89822301883733
483,105,93.57200681943223
566,200,83.54210984814938
348,362,83.60193961605306
404,527,63.686587975097595
396,338,91.41035698579081
277,98,73.72163498836517
542,371,58.659501222526174
434,474,68.70562408043106
215,364,74.59157526600328
491,504,79.595286612068
529,372,87.26085895044675
489,536,74.78387604445531
301,362,89.94804535576156
464,437,61.961002731049724
172,105,113.2798658617298
469,195,70.33405419659115
205,461,70.75042826403056
556,424,135.05576517484414
423,198,122.61112464105679
554,96,55.8390264400174
245,77,250.24115085960685
452,535,101.7853671231852
123,59,80.67534952791085
384,234,100.17555791854959
57,62,70.74894264470404
297,157,76.25022522107965
144,42,72.85784324096069
284,145,78.94180294321131
284,191,69.35207306381058
483,295,66.6975542137507
144,234,80.03771363362944
93,381,74.97208388742371
344,91,81.58019478221581
388,510,86.14462595319355
365,107,69.29601838523776
388,196,93.96657059598363
416,354,66.97000751257339
406,391,84.34877536674335
263,50,65.61530840314343
180,539,80.02863846113445
226,523,79.55731988127586
464,75,103.91442152608766
533,499,104.46992285599626
235,403,67.64383898948564
210,64,102.57241692679662
205,541,53.21316938160356
502,485,81.4357347683683
186,395,63.9152592633015
373,101,97.70678251025927
467,544,72.554552490011
458,556,99.97287521002674
176,445,108.27349214633479
319,540,90.67172780443524
75,247,170.6872846112371
339,391,93.71567246301356
447,125,80.33639119409628
229,177,118.85225751278465
86,257,70.76901165750152
138,278,85.02291503417776
68,415,74.05092657562005
98,239,55.043500366921165
339,53,88.57923803283558
54,372,89.4101329547918
38,301,78.99317512436997
98,306,78.088021394512
211,113,88.36357596159344
527,343,68.98769503900678
320,520,100.45053297044542
51,137,88.54837265079993
71,506,106.28480489500879
346,313,96.65152390144003
444,565,100.35322568264812
463,492,90.87394635873301
176,451,79.8504753501475
260,529,78.66060777733666
261,285,60.893062775271936
268,566,101.22278534224522
216,379,96.29413962943164
106,341,62.11878259890659
229,429,91.29737781339892
527,520,103.79324426555414
261,380,68.68757770820017
390,558,87.2330803135707
559,342,130.31274812784355
308,46,65.61760262531823
104,294,69.44978198130805
163,237,109.61894022708022
140,223,81.11427588913763
522,548,97.163570055443
59,44,79.88257415396303
467,137,86.06816155116819
176,306,64.3205439405028
110,342,110.14172076622641
320,101,61.91708026335096
68,281,50.670430969844205
335,457,70.39860596293326
149,461,79.50503378430841
349,566,85.83229107171958
41,493,80.58229356671966
481,392,100.38894963104339
308,457,74.3906248998009
546,202,85.38907295978863
41,56,90.05689677387036
503,351,75.17955743719477
482,497,146.69743401905833
229,201,86.36399394260815
211,92,86.69117667376311
522,388,120.62930013221933
54,360,115.99156234930555
250,74,121.01253264954823
250,183,69.6407877723071
490,223,92.31930483711298
54,116,93.4979029217365
311,182,81.2017615495596
444,150,97.8822428135818
450,99,81.2798599271057
463,263,65.42057639737583
248,461,123.45396029154819
140,544,77.56809322479307
552,549,94.62486092678785
454,136,66.35717921549666
38,403,68.12874056169335
155,183,85.52086025262594
181,554,85.365139629059
181,286,100.01007111165407
463,275,72.33151623013816
500,262,136.10575652202613
51,459,75.78685045619551
149,299,86.0866415042479
280,142,88.28995883048572
370,558,74.94205012965172
420,418,92.62009123619364
467,58,70.56965196605034
560,493,73.86591317173922
280,498,108.93761894176477
296,210,92.78766764687245
503,326,80.29453468429055
546,284,72.03850716232998
71,378,106.71918620714915
51,491,102.10486283561342
373,392,112.90362500231177
500,107,106.43566117640863
197,359,80.25360485842981
156,186,87.74675647006163
204,359,75.8321712844713
362,309,71.27533703344793
552,300,92.93697801255415
59,148,82.78199402053987
107,416,59.07357208387812
253,299,100.95966585739018
564,91,102.65883753364534
343,336,100.13268717080688
264,463,95.59100556652744
303,532,80.73990648519734
195,499,105.20604387928782
470,486,74.1171498340182
157,373,92.77752743220148
125,304,58.8869333648559
173,254,105.27701295449542
369,313,90.62564242168072
88,263,70.18269133695475
448,104,82.69497104942295
52,547,90.82025373837979
249,468,149.52125462923584
326,193,87.2891474232987
487,62,67.61276180375818
303,436,68.06727575261012
476,301,95.3110381060275
518,328,88.59672228027367
73,535,89.51174656728497
526,508,56.37817826244996
179,395,73.02329142917603
536,181,79.24006380684251
209,271,76.3694206811454
147,37,182.9076822278408
102,450,76.94330227937249
492,408,108.61986583803933
531,311,69.6221243138819
485,296,69.00578158123108
208,134,61.77678881857035
526,540,76.4181369057662
272,320,84.32490016388205
518,139,87.57659528376035
343,145,88.79269689704705
224,212,84.75669993959464
476,366,76.19662963091645
246,298,90.22593714416007
228,71,122.09328593856209
77,461,120.56660758152785
115,319,91.15416113293509
353,341,71.34313011116792
50,71,120.63049595301119
279,256,87.43489224647324
125,197,69.67964479624962
161,299,123.71713916520206
153,390,84.7434189925357
195,456,81.92739345961239
184,251,85.98467808567301
381,217,78.2161114964832
231,262,89.76480123660072
295,510,98.55827879620749
151,460,71.51715145101042
133,235,73.66403916421187
523,93,78.97108677692572
303,548,73.4668496558188
465,308,64.93831716939945
157,304,86.50280607130813
479,317,76.11975520309242
58,69,62.439390747423104
541,539,76.30975416301803
536,512,93.17751749795494
397,559,133.84818016804417
504,519,73.66477076171995
421,268,80.04396612823523
441,440,79.12436396859982
428,319,85.00440014003212
249,341,142.82232350955633
231,499,126.86210259935021
364,227,86.9841193890935
246,322,93.77721219900135
518,296,89.10557691228844
326,132,81.01962932772126
73,176,80.57417200574625
214,438,97.61974401926788
555,146,105.7782866927745
501,185,113.63467313251353
209,72,93.41731861803254
351,265,130.4872759609259
153,394,111.74277756936905
455,348,64.8990518715741
541,111,164.8186277434334
220,217,63.30043325878609
442,277,111.52453460335177
249,75,176.97186055913417
504,277,83.80039191726271
252,475,53.67722294791497
125,361,71.77869953980411
295,540,76.391298919984
249,517,149.1930036221676
209,344,73.77992318664482
151,154,79.81788758672106
264,508,95.91506322387758
419,233,72.02211549150184
240,556,104.87640880833608
179,250,72.3769628490692
451,236,93.87465827692785
541,348,66.89664751504256
173,401,104.79657428706264
512,106,80.9956196148234
528,319,104.2767945073789
540,77,113.04552171861022
265,346,132.08861539775114
478,441,60.39139646727629
60,52,115.4099969330422
257,219,69.91546699139161
332,500,121.69632446918078
257,311,70.28906287566949
154,486,97.5655004125057
309,199,57.51750398914686
113,395,83.5573179696867
377,355,100.74901696664166
540,497,122.20594418738852
528,530,117.9017562915313
350,358,84.77429322820551
218,416,90.2914138520032
118,519,108.30029421610547
177,550,94.8247791003678
557,179,109.67112022809782
146,280,101.91144105710693
46,349,85.68991338100132
332,554,89.08433812948668
313,188,81.06706127956679
360,267,142.80687181701938
139,101,76.46995562546851
539,405,78.40104803266419
512,56,86.99970667822203
330,556,117.09623157379362
306,414,72.31353617284381
512,386,90.68219621749162
76,194,106.15716327717016
338,410,82.0382257954652
325,279,94.7725627589034
118,416,80.30193925094466
512,343,92.6083665824645
528,295,76.97393129996706
446,485,99.38541378730405
227,514,96.13936206952903
412,110,90.4363383406761
493,240,81.6498618433923
539,152,147.60838246476212
325,54,103.70557014336217
418,43,74.16116967309735
46,471,68.97098072785401
539,293,63.9718873181898
60,157,117.8244864687647
422,511,96.75553051361572
257,86,70.76901165750152
158,403,82.2071165334078
146,109,99.84381910450519
477,346,68.46639674973726
505,469,68.68432854641645
561,184,83.80581929832613
241,397,120.26078937827421
146,125,70.4161201218844
342,349,124.83718596376252
275,51,72.1914763554194
117,383,79.4383049243115
154,214,102.67537860923359
236,492,85.6984903779733
70,222,104.60180437578695
212,307,84.14044423094708
401,295,79.92372000357231
283,348,85.87325523932235
193,310,88.87597912781087
430,339,91.48751985912739
276,390,75.89751906271074
517,102,63.61906218091367
94,135,90.69873471963538
357,72,77.99529307725936
505,454,80.07628047184286
435,470,77.66030378221214
146,353,85.45886068874623
418,264,107.47887600453252
401,405,87.7110294866156
508,509,68.2205223832816
230,125,108.37340569504326
290,62,85.87335482733008
275,185,85.21098984431173
553,71,100.32143586220434
70,479,150.77668138640792
65,529,72.23690753637315
325,179,85.18835746710884
462,559,122.74655762786325
435,186,79.45333471861426
299,115,124.89809945569606
366,248,96.29777834284778
202,86,93.2535555192164
105,188,68.60697318990783
392,388,91.12357126164115
203,559,102.67315760878726
371,351,59.55987760616277
89,45,77.60196983511537
117,375,87.80609580149832
309,93,57.002182949931736
212,111,154.15271678051727
150,454,75.68761371287296
166,479,100.4032191935065
48,385,73.15857500583876
