name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
Jesse,2016-11-02 15:41:02.738000,1,2,197,271,1,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,12,413,433,1,tear,4,None,0
Jesse,2016-11-02 15:41:02.738000,1,18,269,320,1,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,20,238,302,1,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,21,296,407,1,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,24,175,229,0,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,25,59,175,1,tear,3,None,0
Jesse,2016-11-02 15:41:02.738000,1,31,503,522,0,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,33,354,367,1,tear,2,None,0
Jesse,2016-11-02 15:41:02.738000,1,48,510,560,1,tear,2,None,0
Jesse,2016-11-02 15:41:02.738000,1,50,370,472,1,tear,2,None,0
Jesse,2016-11-02 15:41:02.738000,1,53,135,222,0,tear,1,None,0
Jesse,2016-11-02 15:41:02.738000,1,56,346,417,0,tear,7,None,0
Jesse,2016-11-02 15:41:02.738000,1,57,98,211,0,tear,4,None,0
Jesse,2016-11-02 15:41:02.738000,1,58,486,537,0,tear,4,None,0
Jesse,2016-11-02 15:41:02.738000,1,59,206,280,1,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,61,458,507,1,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,62,394,458,1,tear,4,None,0
Jesse,2016-11-02 15:41:02.738000,1,64,250,308,1,tear,5,None,0
Jesse,2016-11-02 15:41:02.738000,1,65,181,250,1,tear,4,None,0
Jesse,2016-11-02 15:41:02.738000,1,68,217,268,1,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,69,373,450,0,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,74,436,481,0,tear,4,None,0
Jesse,2016-11-02 15:41:02.738000,1,75,298,436,0,tear,7,None,0
Jesse,2016-11-02 15:41:02.738000,1,81,339,398,0,tear,2,None,0
Jesse,2016-11-02 15:41:02.738000,1,83,216,248,0,tear,2,None,0
Jesse,2016-11-02 15:41:02.738000,1,86,450,530,0,tear,6,None,0
Jesse,2016-11-02 15:41:02.738000,1,87,110,176,0,tear,5,None,0
Jesse,2016-11-02 15:41:02.738000,2,89,356,413,0,tear,3,None,0
Jesse,2016-11-02 15:41:02.738000,2,90,417,454,1,tear,5,None,0
Jesse,2016-11-02 15:41:02.738000,2,92,282,356,0,tear,3,None,0
Jesse,2016-11-02 15:41:02.738000,2,94,62,181,0,tear,1,None,0
Jesse,2016-11-02 15:41:02.738000,2,117,439,527,1,tear,7,None,0
Jesse,2016-11-02 15:41:02.738000,2,118,302,390,0,tear,6,None,0
