name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
Skye,2016-11-07 14:52:30.934000,1,5,315,364,0,water,6,None,0
Skye,2016-11-07 14:52:30.934000,1,7,536,541,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,1,11,492,515,1,water,5,None,0
Skye,2016-11-07 14:52:30.934000,1,14,92,184,0,water,6,None,0
Skye,2016-11-07 14:52:30.934000,1,31,112,173,1,water,3,None,0
Skye,2016-11-07 14:52:30.934000,1,32,410,442,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,1,36,52,183,1,water,3,None,0
Skye,2016-11-07 14:52:30.934000,1,44,209,253,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,1,46,465,511,0,water,4,None,0
Skye,2016-11-07 14:52:30.934000,1,48,347,466,0,water,7,None,0
Skye,2016-11-07 14:52:30.934000,1,49,73,234,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,1,59,414,487,0,water,3,None,0
Skye,2016-11-07 14:52:30.934000,1,68,274,359,0,water,2,None,0
Skye,2016-11-07 14:52:30.934000,1,69,88,179,1,water,1,None,0
Skye,2016-11-07 14:52:30.934000,1,70,501,506,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,1,72,310,369,0,water,2,None,0
Skye,2016-11-07 14:52:30.934000,1,74,363,501,0,water,7,None,0
Skye,2016-11-07 14:52:30.934000,2,80,231,315,1,water,1,None,0
Skye,2016-11-07 14:52:30.934000,2,83,50,165,1,water,1,None,0
Skye,2016-11-07 14:52:30.934000,2,86,441,465,1,water,2,None,0
Skye,2016-11-07 14:52:30.934000,2,88,504,531,0,water,4,None,0
Skye,2016-11-07 14:52:30.934000,2,93,161,300,0,water,4,None,0
Skye,2016-11-07 14:52:30.934000,2,95,300,386,0,water,2,None,0
Skye,2016-11-07 14:52:30.934000,2,100,386,492,1,water,5,None,0
Skye,2016-11-07 14:52:30.934000,2,102,137,231,0,water,4,None,0
Skye,2016-11-07 14:52:30.934000,2,103,340,363,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,2,107,312,381,1,water,5,None,0
Skye,2016-11-07 14:52:30.934000,2,113,115,264,0,water,5,None,0
Skye,2016-11-07 14:52:30.934000,2,116,372,448,1,water,2,None,0
Skye,2016-11-07 14:52:30.934000,2,119,403,455,0,water,3,None,0
Skye,2016-11-07 14:52:30.934000,2,121,95,228,1,water,5,None,0
Skye,2016-11-07 14:52:30.934000,2,124,359,479,0,water,3,None,0
Skye,2016-11-07 14:52:30.934000,2,126,64,258,0,water,1,None,0
