sound_x,sound_y,similarity
62,181,0.01594302472952589
62,250,0.026092996934871198
62,308,0.024567755439163768
62,394,0.010007095417357212
62,458,0.022358385216795024
62,507,0.023061735365437788
62,552,0.02134744987075128
181,250,0.014228022652803207
181,308,0.013690463338409859
181,394,0.008393536843587627
181,458,0.013616316934781684
181,507,0.012907903581217987
181,552,0.013556600775237163
250,308,0.022074847515475195
250,394,0.009618951905952225
250,458,0.02066762784224432
250,507,0.020806467951864728
250,552,0.01929348233784394
308,394,0.010204338724579683
308,458,0.021127734395604926
308,507,0.021129332437506823
308,552,0.018052052758433638
394,458,0.010943087214001676
394,507,0.01080780248227631
394,552,0.01101733979764233
458,507,0.03410073131131427
458,552,0.025911658477974633
507,552,0.027199901422781697
204,206,0.01680977560201658
204,280,0.015915210581489463
204,316,0.016101097276410237
204,376,0.015287674313511213
204,424,0.02453713697906482
204,535,0.019654639345955682
204,559,0.013079635438796727
206,280,0.019770085105438817
206,316,0.02864840123050046
206,376,0.015064798063205327
206,424,0.022694530783004405
206,535,0.02291330062624164
206,559,0.014162798259638716
280,316,0.020195553333059352
280,376,0.012760784703200386
280,424,0.01785847643485155
280,535,0.017246658090323577
280,559,0.010554123782521982
316,376,0.014837350344788197
316,424,0.0232197050163906
316,535,0.022068724764335714
316,559,0.014519611940915342
376,424,0.020473110377545314
376,535,0.016045586507035546
376,559,0.013150697366868167
424,535,0.021823733638876158
424,559,0.016875281927633726
535,559,0.016359447187058177
135,222,0.017193301536570272
135,292,0.016674958724432105
135,304,0.014439903137245616
135,370,0.009955624652209602
135,472,0.015368765737051523
135,510,0.012839103637010197
135,560,0.015401509551944949
222,292,0.02449586333130017
222,304,0.016778961041229095
222,370,0.011837737963083449
222,472,0.01727992502372252
222,510,0.012880851088268055
222,560,0.016333780369374613
292,304,0.022789787334563133
292,370,0.01230498767946807
292,472,0.01702916898535906
292,510,0.014178867803700918
292,560,0.017945690430916077
304,370,0.013697499027444139
304,472,0.01611079137933311
304,510,0.015529670600307206
304,560,0.016931269702084605
370,472,0.012227100311045175
370,510,0.011640163292660008
370,560,0.011910184577954923
472,510,0.01512801089010095
472,560,0.018923970417306153
510,560,0.016238149703429464
145,196,0.017610938825133187
145,243,0.018954177849624
145,328,0.018976883571059235
145,373,0.0195381034442653
145,450,0.01129206740927036
145,530,0.02317041453261226
145,567,0.021629003116207742
196,243,0.01553863327884345
196,328,0.01694711904293282
196,373,0.015861334573338534
196,450,0.010684898069942753
196,530,0.015851605806418534
196,567,0.018279440434345675
243,328,0.01778030418020651
243,373,0.017853368808353236
243,450,0.011357169693597192
243,530,0.02134805761129826
243,567,0.019558874376835837
328,373,0.01712652990533079
328,450,0.00996883650515146
328,530,0.018072064122601483
328,567,0.017926273363214694
373,450,0.01015101316740453
373,530,0.021064301753702164
373,567,0.019185446028637372
450,530,0.012233633960119913
450,567,0.012664136081550365
530,567,0.02057177384031757
51,216,0.02029755495282465
51,248,0.010233167994619673
51,339,0.021064622795026203
51,398,0.012614409128898796
51,467,0.021007592435653272
51,490,0.018422487666484594
216,248,0.010625838043436546
216,339,0.018590736847686255
216,398,0.012725284437099887
216,467,0.019516718881087133
216,490,0.021133855549990303
248,339,0.011171710513843816
248,398,0.009148059863419947
248,467,0.008931160903269678
248,490,0.009082235330618997
339,398,0.012613485213133498
339,467,0.018045323071540383
339,490,0.016950958190843197
398,467,0.01303620970464314
398,490,0.013260396328002208
467,490,0.02064657201955234
54,167,0.014061165164347099
54,287,0.015631231281775716
54,298,0.016437147304166108
54,436,0.015469074962487879
54,481,0.016732422740081545
54,495,0.014274680861194966
167,287,0.013274000240877017
167,298,0.015250503027526606
167,436,0.013988130666339834
167,481,0.014871963380651236
167,495,0.014555900259128824
287,298,0.01712452292730076
287,436,0.019274988925651815
287,481,0.018788441815830996
287,495,0.01560891568069248
298,436,0.017485737009879054
298,481,0.017261285994428336
298,495,0.016243451849702946
436,481,0.019390685179298532
436,495,0.014058324985355546
481,495,0.016848250223006116
70,166,0.007480477206377365
70,273,0.01021107206425889
70,306,0.008564455332634327
70,422,0.018351329977384173
70,462,0.007993560214673246
70,499,0.012382779031037669
166,273,0.016692438004485232
166,306,0.013474069057804102
166,422,0.008699509458606603
166,462,0.013216015412465408
166,499,0.010035342518644883
273,306,0.01997504195806435
273,422,0.011493795571045075
273,462,0.023925716563598976
273,499,0.015269048119902798
306,422,0.011059581737461672
306,462,0.018650104856666225
306,499,0.01302219023681984
422,462,0.010218473713503437
422,499,0.012917998748114187
462,499,0.011944013059585529
140,225,0.0177169567351616
140,269,0.02297550130913943
140,320,0.018957649015267895
140,408,0.020698524957549726
140,482,0.021916050807775648
140,500,0.011975142885543135
225,269,0.021081067982609208
225,320,0.018752963985637604
225,408,0.01766410671089006
225,482,0.01757590978997582
225,500,0.01332424648136842
269,320,0.022283612996665293
269,408,0.020526264758691133
269,482,0.0205821660499042
269,500,0.014807636151458305
320,408,0.020913691941015923
320,482,0.019025632590152615
320,500,0.013298940188285991
408,482,0.02001025925169387
408,500,0.012201712430425504
482,500,0.01083831817875728
60,191,0.012587226821981256
60,237,0.012377252772676322
60,299,0.01202266125989909
60,357,0.0160325139685744
60,456,0.013052690205284968
60,512,0.01404516462748462
191,237,0.02056408559892575
191,299,0.016390944557598205
191,357,0.021669473131388384
191,456,0.0204373299158159
191,512,0.014774580453184662
237,299,0.022040383024700044
237,357,0.02204111050403056
237,456,0.020635676094294463
237,512,0.016369998132229262
299,357,0.018870230234487983
299,456,0.016621834506813392
299,512,0.015754351893733094
357,456,0.022481023371114586
357,512,0.018705385636651035
456,512,0.016549051186890644
91,163,0.012871116477469533
55,203,0.02187414083162338
55,213,0.01674514964906182
55,318,0.01929024305764128
55,371,0.016622895821230124
55,508,0.01825157215437224
55,517,0.014519412074622134
203,213,0.02104116406622629
203,318,0.02779388238071175
203,371,0.02030926041117086
203,508,0.025670257190223773
203,517,0.02018311611426492
213,318,0.0199555041910855
213,371,0.017829723422401123
213,508,0.02006048640612156
213,517,0.017407970126426815
318,371,0.019111380399603833
